iter	Passed	Remaining
761	53354	1347026
762	53424	1346945
763	53495	1346908
764	53561	1346741
765	53629	1346616
766	53698	1346517
767	53767	1346436
768	53838	1346384
769	53905	1346241
770	53974	1346146
771	54040	1345970
772	54111	1345915
773	54175	1345709
774	54244	1345620
775	54314	1345552
776	54384	1345474
777	54453	1345375
778	54525	1345356
779	54591	1345200
780	54661	1345111
781	54730	1345025
782	54801	1344969
783	54868	1344836
784	54937	1344740
785	55006	1344654
786	55071	1344447
787	55139	1344329
788	55206	1344194
789	55272	1344020
790	55339	1343880
791	55409	1343827
792	55477	1343709
793	55545	1343580
794	55614	1343492
795	55681	1343352
796	55751	1343274
797	55820	1343189
798	55887	1343043
799	55955	1342923
800	56020	1342739
801	56085	1342563
802	56152	1342406
803	56221	1342329
804	56291	1342259
805	56363	1342227
806	56431	1342114
807	56498	1341971
808	56567	1341883
809	56639	1341866
810	56707	1341741
811	56776	1341663
812	56843	1341518
813	56909	1341353
814	56982	1341366
815	57047	1341178
816	57118	1341120
817	57184	1340961
818	57250	1340806
819	57316	1340639
820	57382	1340497
821	57449	1340351
822	57513	1340138
823	57579	1339976
824	57646	1339854
825	57716	1339777
826	57787	1339733
827	57856	1339635
828	57924	1339519
829	57990	1339380
830	58057	1339225
831	58129	1339224
832	58202	1339221
833	58270	1339098
834	58339	1339012
835	58409	1338938
836	58477	1338844
837	58547	1338774
838	58619	1338745
839	58690	1338713
840	58759	1338602
841	58828	1338531
842	58899	1338478
843	58975	1338537
844	59051	1338618
845	59118	1338486
846	59189	1338440
847	59255	1338284
848	59320	1338091
849	59386	1337946
850	59451	1337766
851	59515	1337565
852	59580	1337382
853	59644	1337191
854	59712	1337064
855	59779	1336930
856	59847	1336817
857	59917	1336759
858	59985	1336651
859	60052	1336517
860	60127	1336569
861	60203	1336636
862	60272	1336537
863	60341	1336452
864	60409	1336342
865	60476	1336220
866	60547	1336158
867	60614	1336042
868	60683	1335948
869	60755	1335926
870	60825	1335864
871	60897	1335824
872	60963	1335687
873	61030	1335543
874	61098	1335434
875	61165	1335306
876	61232	1335173
877	61300	1335073
878	61369	1334978
879	61440	1334925
880	61513	1334939
881	61584	1334884
882	61665	1335071
883	61756	1335441
884	61861	1336130
885	61955	1336584
886	62039	1336818
887	62124	1337074
888	62211	1337381
889	62287	1337433
890	62366	1337544
891	62444	1337656
892	62522	1337766
893	62599	1337836
894	62673	1337841
895	62750	1337933
896	62822	1337891
897	62896	1337906
898	62965	1337818
899	63036	1337773
900	63107	1337725
901	63176	1337636
902	63246	1337552
903	63314	1337447
904	63385	1337391
905	63453	1337283
906	63518	1337120
907	63591	1337092
908	63658	1336976
909	63733	1337002
910	63803	1336941
911	63896	1337346
912	63980	1337568
913	64083	1338183
914	64189	1338863
915	64280	1339215
916	64357	1339304
917	64433	1339342
918	64509	1339395
919	64588	1339504
920	64668	1339631
921	64758	1339978
922	64840	1340152
923	64919	1340274
924	65003	1340468
925	65106	1341079
926	65205	1341594
927	65293	1341894
928	65396	1342487
929	65476	1342622
930	65582	1343286
931	65675	1343677
932	65764	1343968
933	65865	1344529
934	65989	1345550
935	66091	1346127
936	66210	1347043
937	66311	1347585
938	66412	1348114
939	66510	1348611
940	66609	1349100
941	66705	1349547
942	66791	1349783
943	66874	1349961
944	66959	1350166
945	67073	1350978
946	67179	1351611
947	67300	1352550
948	67419	1353441
949	67526	1354075
950	67612	1354308
951	67690	1354382
952	67786	1354803
953	67878	1355155
954	67977	1355643
955	68077	1356136
956	68156	1356218
957	68224	1356093
958	68294	1355988
959	68367	1355953
960	68438	1355887
961	68514	1355894
962	68584	1355810
963	68657	1355773
964	68725	1355631
965	68794	1355523
966	68863	1355413
967	68934	1355331
968	69011	1355365
969	69085	1355350
970	69157	1355307
971	69232	1355304
972	69302	1355209
973	69370	1355069
974	69441	1355009
975	69514	1354965
976	69586	1354915
977	69658	1354857
978	69729	1354779
979	69798	1354655
980	69867	1354539
981	69939	1354481
982	70011	1354437
983	70085	1354421
984	70159	1354395
985	70229	1354304
986	70301	1354245
987	70368	1354098
988	70441	1354065
989	70515	1354035
990	70590	1354034
991	70658	1353915
992	70731	1353877
993	70803	1353813
994	70870	1353671
995	70938	1353522
996	71005	1353372
997	71076	1353292
998	71142	1353133
999	71209	1352986
1000	71280	1352905
1001	71356	1352933
1002	71426	1352840
1003	71497	1352764
1004	71566	1352649
1005	71640	1352619
1006	71707	1352478
1007	71776	1352362
1008	71848	1352304
1009	71914	1352137
1010	71984	1352044
1011	72050	1351875
1012	72119	1351760
1013	72191	1351713
1014	72259	1351565
1015	72327	1351447
1016	72396	1351332
1017	72468	1351273
1018	72540	1351210
1019	72610	1351122
1020	72690	1351225
1021	72759	1351105
1022	72827	1350979
1023	72896	1350854
1024	72965	1350756
1025	73041	1350761
1026	73116	1350764
1027	73190	1350751
1028	73264	1350733
1029	73338	1350705
1030	73412	1350697
1031	73486	1350668
1032	73559	1350627
1033	73636	1350665
1034	73712	1350692
1035	73788	1350698
1036	73859	1350617
1037	73937	1350675
1038	74011	1350654
1039	74083	1350595
1040	74161	1350642
1041	74236	1350649
1042	74308	1350597
1043	74382	1350567
1044	74453	1350502
1045	74523	1350392
1046	74598	1350392
1047	74671	1350359
1048	74741	1350270
1049	74818	1350298
1050	74888	1350202
1051	74960	1350141
1052	75031	1350069
